HDFC top 100 fund (Growth) SIP Calculation for 3 Years,,,,,
Assuming Investment of Rs 10000 on the first trading day of every month,,,,,
Date,Close,Amount Invested,Shares bought (Assuming partial buying is allowed),,Value of shares bought on 29 March 2023 (SIP returns of last 3 years)
01-03-2021,592.567017,10000,16.87572834,,502547.4641
02-03-2021,599.400024,0,0,,
03-03-2021,609.442017,0,0,,
04-03-2021,601.583008,0,0,,
05-03-2021,593.403015,0,0,,
08-03-2021,597.869995,0,0,,
09-03-2021,598.643005,0,0,,
10-03-2021,601.409973,0,0,,
12-03-2021,597.197021,0,0,,
15-03-2021,594.609985,0,0,,
16-03-2021,592.820984,0,0,,
17-03-2021,582.328003,0,0,,
18-03-2021,576.132019,0,0,,
19-03-2021,582.163025,0,0,,
22-03-2021,580.536011,0,0,,
23-03-2021,583.052002,0,0,,
24-03-2021,571.218018,0,0,,
25-03-2021,561.848999,0,0,,
26-03-2021,567.932983,0,0,,
30-03-2021,578.023987,0,0,,
31-03-2021,574.262024,0,0,,
01-04-2021,581.60498,10000,17.19380051,,
05-04-2021,571.469971,0,0,,
06-04-2021,571.737976,0,0,,
07-04-2021,577.424011,0,0,,
08-04-2021,578.083984,0,0,,
09-04-2021,576.11499,0,0,,
12-04-2021,551.953003,0,0,,
13-04-2021,562.450012,0,0,,
15-04-2021,566.414001,0,0,,
16-04-2021,568.078979,0,0,,
19-04-2021,557.682007,0,0,,
20-04-2021,556.505005,0,0,,
22-04-2021,560.747986,0,0,,
23-04-2021,560.536987,0,0,,
26-04-2021,565.296021,0,0,,
27-04-2021,571.484985,0,0,,
28-04-2021,577.978027,0,0,,
29-04-2021,576.906982,0,0,,
30-04-2021,570.888977,0,0,,
03-05-2021,570.526978,10000,17.52765493,,
04-05-2021,566.909973,0,0,,
05-05-2021,574.627014,0,0,,
06-05-2021,577.893982,0,0,,
07-05-2021,582.005005,0,0,,
10-05-2021,589.929993,0,0,,
11-05-2021,592.346985,0,0,,
12-05-2021,588.877014,0,0,,
14-05-2021,584.382996,0,0,,
17-05-2021,593.255981,0,0,,
18-05-2021,598.880981,0,0,,
19-05-2021,598.117004,0,0,,
20-05-2021,593.518005,0,0,,
21-05-2021,604.500977,0,0,,
24-05-2021,608.528992,0,0,,
25-05-2021,607.932983,0,0,,
26-05-2021,609.044006,0,0,,
27-05-2021,610.78302,0,0,,
28-05-2021,613.010986,0,0,,
31-05-2021,618.893982,0,0,,
01-06-2021,618.544983,10000,16.16697294,,
02-06-2021,620.637024,0,0,,
03-06-2021,624.203979,0,0,,
04-06-2021,624.945984,0,0,,
07-06-2021,631.133972,0,0,,
08-06-2021,631.164001,0,0,,
09-06-2021,628.528015,0,0,,
10-06-2021,632.388,0,0,,
11-06-2021,634.187012,0,0,,
14-06-2021,633.685974,0,0,,
15-06-2021,634.484985,0,0,,
16-06-2021,631.586975,0,0,,
17-06-2021,626.56897,0,0,,
18-06-2021,621.369019,0,0,,
21-06-2021,624.294983,0,0,,
22-06-2021,625.794983,0,0,,
23-06-2021,622.359985,0,0,,
24-06-2021,624.218994,0,0,,
25-06-2021,629.515015,0,0,,
28-06-2021,628.067017,0,0,,
29-06-2021,625.104004,0,0,,
30-06-2021,624.770996,0,0,,
01-07-2021,623.497986,10000,16.03854419,,
02-07-2021,625.664978,0,0,,
05-07-2021,630.565002,0,0,,
06-07-2021,627.666016,0,0,,
07-07-2021,629.297974,0,0,,
08-07-2021,623.869019,0,0,,
09-07-2021,622.057983,0,0,,
12-07-2021,622.263977,0,0,,
13-07-2021,628.116028,0,0,,
14-07-2021,630.361023,0,0,,
15-07-2021,632.573975,0,0,,
16-07-2021,632.445984,0,0,,
19-07-2021,627.927002,0,0,,
20-07-2021,621.469971,0,0,,
22-07-2021,628.565979,0,0,,
23-07-2021,630.669006,0,0,,
26-07-2021,628.458008,0,0,,
27-07-2021,623.851013,0,0,,
28-07-2021,622.981995,0,0,,
29-07-2021,625.35498,0,0,,
30-07-2021,626.411987,0,0,,
02-08-2021,632.234009,10000,15.81692832,,
03-08-2021,640.594971,0,0,,
04-08-2021,644.880981,0,0,,
05-08-2021,644.737,0,0,,
06-08-2021,643.250977,0,0,,
09-08-2021,641.883972,0,0,,
10-08-2021,640.119019,0,0,,
11-08-2021,640.000977,0,0,,
12-08-2021,642.572998,0,0,,
13-08-2021,648.085022,0,0,,
16-08-2021,647.89801,0,0,,
17-08-2021,646.421021,0,0,,
18-08-2021,643.953003,0,0,,
20-08-2021,634.924988,0,0,,
23-08-2021,635.398987,0,0,,
24-08-2021,641.434021,0,0,,
25-08-2021,642.815002,0,0,,
26-08-2021,641.491028,0,0,,
27-08-2021,645.077026,0,0,,
30-08-2021,654.802002,0,0,,
31-08-2021,661.45697,0,0,,
01-09-2021,660.103027,10000,15.14915035,,
02-09-2021,664.171021,0,0,,
03-09-2021,668.190979,0,0,,
06-09-2021,668.934021,0,0,,
07-09-2021,667.554016,0,0,,
08-09-2021,669.067993,0,0,,
09-09-2021,669.401001,0,0,,
13-09-2021,669.692017,0,0,,
14-09-2021,671.617004,0,0,,
15-09-2021,679.963013,0,0,,
16-09-2021,685.838989,0,0,,
17-09-2021,682.822998,0,0,,
20-09-2021,673.161987,0,0,,
21-09-2021,677.315979,0,0,,
22-09-2021,678.406982,0,0,,
23-09-2021,689.432007,0,0,,
24-09-2021,687.840027,0,0,,
27-09-2021,689.661987,0,0,,
28-09-2021,690.632019,0,0,,
29-09-2021,695.538025,0,0,,
30-09-2021,692.20697,0,0,,
01-10-2021,690.106018,10000,14.49052716,,
04-10-2021,697.655029,0,0,,
05-10-2021,704.052002,0,0,,
06-10-2021,696.549988,0,0,,
07-10-2021,701.622986,0,0,,
08-10-2021,703.885986,0,0,,
11-10-2021,709.11499,0,0,,
12-10-2021,710.268005,0,0,,
13-10-2021,716.981995,0,0,,
14-10-2021,724.093994,0,0,,
18-10-2021,730.502014,0,0,,
19-10-2021,726.226013,0,0,,
20-10-2021,720.296021,0,0,,
21-10-2021,719.575012,0,0,,
22-10-2021,715.195007,0,0,,
25-10-2021,717.151001,0,0,,
26-10-2021,721.903992,0,0,,
27-10-2021,721.072998,0,0,,
28-10-2021,703.299988,0,0,,
29-10-2021,696.919983,0,0,,
01-11-2021,706.742981,10000,14.14941537,,
02-11-2021,706.625977,0,0,,
03-11-2021,705.630981,0,0,,
08-11-2021,715.71698,0,0,,
09-11-2021,715.807007,0,0,,
10-11-2021,715.301025,0,0,,
11-11-2021,709.281982,0,0,,
12-11-2021,715.567993,0,0,,
15-11-2021,713.742004,0,0,,
16-11-2021,707.744995,0,0,,
17-11-2021,703.994019,0,0,,
18-11-2021,698.533997,0,0,,
22-11-2021,683.625977,0,0,,
23-11-2021,689.205994,0,0,,
24-11-2021,687.692993,0,0,,
25-11-2021,690.510986,0,0,,
26-11-2021,670.921021,0,0,,
29-11-2021,667.700012,0,0,,
30-11-2021,666.580994,0,0,,
01-12-2021,673.671021,10000,14.84404062,,
02-12-2021,681.450012,0,0,,
03-12-2021,675.731018,0,0,,
06-12-2021,666.096985,0,0,,
07-12-2021,675.771973,0,0,,
08-12-2021,686.586975,0,0,,
09-12-2021,688.794983,0,0,,
10-12-2021,689.10498,0,0,,
13-12-2021,684.940002,0,0,,
14-12-2021,684.896973,0,0,,
15-12-2021,680.546997,0,0,,
16-12-2021,680.020996,0,0,,
17-12-2021,669.234009,0,0,,
20-12-2021,652.896973,0,0,,
21-12-2021,659.125977,0,0,,
22-12-2021,667.026978,0,0,,
23-12-2021,673.015991,0,0,,
24-12-2021,668.820984,0,0,,
27-12-2021,671.966003,0,0,,
28-12-2021,678.283997,0,0,,
29-12-2021,676.672974,0,0,,
30-12-2021,676.138977,0,0,,
31-12-2021,680.945007,0,0,,
03-01-2022,691.893982,10000,14.45308134,,
04-01-2022,698.468018,0,0,,
05-01-2022,702.291016,0,0,,
06-01-2022,696.70697,0,0,,
07-01-2022,698.599976,0,0,,
10-01-2022,708.065979,0,0,,
11-01-2022,709.314026,0,0,,
12-01-2022,715.638977,0,0,,
13-01-2022,719.48999,0,0,,
14-01-2022,719.674988,0,0,,
17-01-2022,721.419983,0,0,,
18-01-2022,713.609985,0,0,,
19-01-2022,711.236023,0,0,,
20-01-2022,705.593994,0,0,,
21-01-2022,696.859009,0,0,,
24-01-2022,682.39801,0,0,,
25-01-2022,690.052002,0,0,,
27-01-2022,685.726013,0,0,,
28-01-2022,686.880005,0,0,,
31-01-2022,697.054993,0,0,,
01-02-2022,703.151001,10000,14.22169632,,
02-02-2022,709.439026,0,0,,
03-02-2022,702.096008,0,0,,
04-02-2022,698.494995,0,0,,
07-02-2022,689.106995,0,0,,
08-02-2022,688.875,0,0,,
09-02-2022,696.844971,0,0,,
10-02-2022,702.388,0,0,,
11-02-2022,694.515991,0,0,,
14-02-2022,672.797974,0,0,,
15-02-2022,689.911011,0,0,,
16-02-2022,688.567993,0,0,,
17-02-2022,686.708984,0,0,,
18-02-2022,686.138,0,0,,
21-02-2022,682.750977,0,0,,
22-02-2022,676.617981,0,0,,
23-02-2022,674.737,0,0,,
